Disease,Symptoms,Gender,Age,Medicine
Acne,"Pimples, blackheads, whiteheads, oily skin, inflammation",Gender Neutral,12–30 years,"Benzoyl peroxide, salicylic acid, retinoids (tretinoin), antibiotics (clindamycin)"
Allergies (Allergic Rhinitis),"Sneezing, runny nose, itchy eyes, congestion",Gender Neutral,Any age (common in children and young adults),"Antihistamines (loratadine, cetirizine), nasal corticosteroids (fluticasone)"
Asthma,"Wheezing, shortness of breath, chest tightness, coughing","Slightly more common in males (childhood), females (adults)",Any age (often starts in childhood),"Inhalers (albuterol), corticosteroids (fluticasone), leukotriene modifiers (montelukast)"
Arthritis (Osteoarthritis),"Joint pain, stiffness, swelling, reduced mobility",More common in females,40+ years,"NSAIDs (ibuprofen), acetaminophen, physical therapy"
Alzheimer’s Disease,"Memory loss, confusion, difficulty speaking, mood swings",More common in females,65+ years,"Cholinesterase inhibitors (donepezil), memantine"
Anemia (Iron-Deficiency Anemia),"Fatigue, weakness, pale skin, dizziness",More common in females (due to menstruation),Any age,"Iron supplements (ferrous sulfate), vitamin C (for absorption)"
Anxiety Disorder,"Excessive worry, restlessness, rapid heartbeat, sweating",More common in females,Teens to adults,"SSRIs (sertraline), benzodiazepines (alprazolam), therapy"
Appendicitis,"Severe abdominal pain (right side), nausea, fever, loss of appetite",Gender Neutral,10–30 years,"Surgery (appendectomy), antibiotics (if mild)"
Atherosclerosis,"Chest pain, leg pain, fatigue (due to narrowed arteries)",More common in males,40+ years,"Statins (atorvastatin), blood thinners (aspirin)"
Atrial Fibrillation (AFib),"Irregular heartbeat, palpitations, dizziness, fatigue",More common in males,50+ years,"Beta-blockers (metoprolol), anticoagulants (warfarin)"
Autism Spectrum Disorder (ASD),"Social difficulties, repetitive behaviors, speech delays",More common in males,Diagnosed in childhood (2+ years),"Behavioral therapy, SSRIs (if anxiety present)"
Athlete’s Foot (Tinea Pedis),"Itchy, scaly feet, blisters, cracking skin",More common in males,Teens to adults,"Antifungal creams (clotrimazole, terbinafine)"
Aortic Aneurysm,"Severe chest/back pain, shortness of breath (if ruptured)",More common in males,60+ years,"Surgery, blood pressure medications (losartan)"
Acid Reflux (GERD),"Heartburn, regurgitation, chest pain, difficulty swallowing",Gender Neutral,20+ years,"Antacids (Tums), PPIs (omeprazole), H2 blockers (famotidine)"
ADHD (Attention Deficit Hyperactivity Disorder),"Inattention, hyperactivity, impulsivity",More common in males,Childhood (diagnosed at 6+ years),"Stimulants (methylphenidate), non-stimulants (atomoxetine)"
AIDS (Acquired Immunodeficiency Syndrome),"Frequent infections, weight loss, fatigue, night sweats",Gender Neutral (higher in males due to risk factors),Any age (most common in 20–50),"Antiretroviral therapy (ART) (tenofovir, emtricitabine)"
Alcoholism (Alcohol Use Disorder),"Craving alcohol, inability to stop drinking, withdrawal symptoms",More common in males,20–50 years,"Naltrexone, acamprosate, therapy"
Amnesia,"Memory loss, confusion, inability to recall past events",Gender Neutral,Any age (often elderly due to brain injury/disease),"Therapy, treating underlying cause (e.g., vitamin B1 for Wernicke-Korsakoff)"
